Country,iso_a3,currency_code,local_price,dollar_ex,dollar_price,dollar_ppp,GDP_dollar,dollar_valuation,euro_valuation,sterling_valuation,yen_valuation,yuan_valuation,dollar_adj_valuation,euro_adj_valuation,sterling_adj_valuation,yen_adj_valuation,yuan_adj_valuation
United Arab Emirates,ARE,AED,14.75,3.67295,4.015845574,2.583187391,,-29.67,-16.094,-6.113,10.461,29.608,,,,,
Argentina,ARG,ARS,250,71.24065,3.50923244,43.78283713,11658.22,-38.542,-26.679,-17.957,-3.474,13.258,3,1,15.5,31.7,10.2
Australia,AUS,AUD,6.55,1.430615165,4.57845,1.147110333,56420.201,-19.817,-4.339,7.04,25.937,47.766,-15.5,-17.2,-5.2,8.1,-9.6
Azerbaijan,AZE,AZN,3.95,1.699,2.324896998,0.691768827,,-59.284,-51.424,-45.646,-36.05,-24.966,,,,,
Bahrain,BHR,BHD,1.4,0.37705,3.713035406,0.245183888,,-34.973,-22.421,-13.193,2.132,19.835,,,,,
Brazil,BRA,BRL,20.9,5.34045,3.913527886,3.660245184,8958.576,-31.462,-18.232,-8.505,7.647,26.306,19.1,16.8,33.6,52.3,27.4
Canada,CAN,CAD,6.88,1.3552,5.07674144,1.204903678,46290.217,-11.09,6.072,18.689,39.643,63.848,2.3,0.3,14.7,30.8,9.4
Switzerland,CHE,CHF,6.5,0.94125,6.905710491,1.138353765,83161.895,20.941,44.286,61.449,89.951,122.876,4.3,2.2,17,33.4,11.5
Chile,CHL,CLP,2740,787.7,3.478481655,479.8598949,15901.725,-39.081,-27.322,-18.676,-4.319,12.265,-3.3,-5.2,8.4,23.7,3.4
China,CHN,CNY,21.7,7.0035,3.098450775,3.800350263,9580.239,-45.736,-35.262,-27.561,-14.773,0,-6.5,-8.3,4.9,19.6,0
Colombia,COL,COP,11900,3617.01,3.290010257,2084.063047,6641.507,-42.382,-31.26,-23.083,-9.504,6.182,3.4,1.4,16,32.3,10.6
Costa Rica,CRI,CRC,2350,581.825,4.039015168,411.558669,,-29.264,-15.61,-5.572,11.099,30.356,,,,,
Czech Republic,CZE,CZK,89,23.4134,3.801242024,15.58669002,23112.593,-33.428,-20.578,-11.131,4.559,22.682,-3.1,-5,8.7,24,3.7
Denmark,DNK,DKK,30,6.54935,4.580607236,5.253940455,60897.231,-19.779,-4.294,7.09,25.996,47.835,-18.5,-20.1,-8.6,4.2,-12.8
Egypt,EGY,EGP,42,15.95,2.63322884,7.355516637,2573.288,-53.884,-44.982,-38.438,-27.569,-15.015,-12.2,-13.9,-1.5,12.3,-6.1
Euro area,EUZ,EUR,4.21,0.879623521,4.7861385,0.737302977,40247.32341,-16.18,0,11.895,31.649,54.469,2,0,14.4,30.5,9.1
