Age,Gender,Country,Education Level,Role,Programming Experience,ML Experience,Company Size,Company Data Scientists,Yearly Compensation,Spent Money (5years),Primary Tool,# of Languages,# of Visual tools,# of ML frameworks,# of ML algorithms
35-39,Man,Colombia,Doctoral degree,Student,5-10 years,1-2 years,,,,,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",7,2,3,6
30-34,Man,United States of America,Master’s degree,Data Engineer,5-10 years,1-2 years,"10,000 or more employees",20+,"100,000-124,999","$100,000 or more ($USD)","Business intelligence software (Salesforce, Tableau, Spotfire, etc.)",3,4,4,3
35-39,Man,Argentina,Bachelor’s degree,Software Engineer,10-20 years,I do not use machine learning methods,"1000-9,999 employees",0,"15,000-19,999",$0 ($USD),"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",3,1,0,0
30-34,Man,United States of America,Master’s degree,Data Scientist,5-10 years,3-4 years,250-999 employees,5-9,"125,000-149,999","$10,000-$99,999","Local development environments (RStudio, JupyterLab, etc.)",3,3,4,5
30-34,Man,Japan,Master’s degree,Software Engineer,3-5 years,,,,,,,1,0,0,0
30-34,Man,India,Bachelor’s degree,Data Analyst,< 1 years,,,,,,,2,3,0,0
22-24,Man,Brazil,Bachelor’s degree,Student,3-5 years,Under 1 year,,,,,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",3,3,5,4
25-29,Woman,China,Master’s degree,Student,< 1 years,1-2 years,,,,,,1,1,1,1
35-39,Man,Germany,Doctoral degree,Data Scientist,5-10 years,2-3 years,"1000-9,999 employees",20+,"70,000-79,999","$10,000-$99,999","Cloud-based data software & APIs (AWS, GCP, Azure, etc.)",3,4,5,2
22-24,Man,China,No formal education past high school,Student,< 1 years,,,,,,,2,0,0,0
18-21,Man,India,Bachelor’s degree,Student,1-2 years,I do not use machine learning methods,,,,,,5,1,0,0
35-39,Man,United States of America,Doctoral degree,Research Scientist,1-2 years,Under 1 year,0-49 employees,1-2,"30,000-39,999",$1-$99,"Local development environments (RStudio, JupyterLab, etc.)",1,1,1,1
22-24,Man,Indonesia,Bachelor’s degree,Student,< 1 years,Under 1 year,,,,,"Advanced statistical software (SPSS, SAS, etc.)",4,1,1,1
30-34,Man,Canada,Bachelor’s degree,Data Engineer,< 1 years,Under 1 year,0-49 employees,3-4,"90,000-99,999","$1000-$9,999","Basic statistical software (Microsoft Excel, Google Sheets, etc.)",3,2,2,4
30-34,Man,Switzerland,Bachelor’s degree,Other,< 1 years,Under 1 year,50-249 employees,0,"70,000-79,999",$0 ($USD),"Local development environments (RStudio, JupyterLab, etc.)",2,3,3,3
18-21,Woman,India,Bachelor’s degree,Student,1-2 years,I do not use machine learning methods,,,,,"Local development environments (RStudio, JupyterLab, etc.)",2,1,0,0
25-29,Woman,Other,Bachelor’s degree,Currently not employed,3-5 years,I do not use machine learning methods,,,,,"Business intelligence software (Salesforce, Tableau, Spotfire, etc.)",1,1,0,0
22-24,Man,Singapore,Bachelor’s degree,Student,3-5 years,Under 1 year,,,,,"Local development environments (RStudio, JupyterLab, etc.)",4,5,4,2
22-24,Man,India,Bachelor’s degree,Student,1-2 years,,,,,,,5,0,0,0
18-21,Man,India,Bachelor’s degree,Student,1-2 years,Under 1 year,,,,,,3,1,4,5
22-24,Woman,India,Doctoral degree,Statistician,3-5 years,4-5 years,50-249 employees,1-2,"1,000-1,999",$0 ($USD),"Advanced statistical software (SPSS, SAS, etc.)",3,1,1,3
30-34,Man,Russia,Bachelor’s degree,Data Scientist,< 1 years,Under 1 year,50-249 employees,1-2,$0-999,"$1000-$9,999","Local development environments (RStudio, JupyterLab, etc.)",2,3,5,3
55-59,Woman,Canada,Master’s degree,Product/Project Manager,1-2 years,1-2 years,250-999 employees,5-9,"125,000-149,999",$100-$999,"Local development environments (RStudio, JupyterLab, etc.)",1,4,1,3
